Age,workclass,education,education-num,marital,occupation,relationship,sex,capital-gain,capital loss,hours-per-week,salary
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,,0,0,20,1
27,,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,0
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,,0,0,40,0
18,Private,11th,7,Never-married,Other-service,Own-child,Female,0,0,22,0
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,1
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,Male,0,,30,0
52,Private,Bachelors,13,,Other-service,Husband,Male,0,0,40,0
,Private,HS-grad,,Married-civ-spouse,Other-service,Wife,Female,,0,40,0
59,Private,,9,Married-civ-spouse,Sales,Husband,Male,0,0,48,0
44,Private,HS-grad,,Divorced,Craft-repair,Not-in-family,Female,,0,40,0
53,Private,HS-grad,9,Divorced,Sales,Own-child,Female,0,0,35,0
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,0
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,,0,0,50,0
30,Private,,5,Never-married,Sales,Not-in-family,Male,0,0,40,0
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,Female,0,0,50,0
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,Female,0,0,40,1
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Female,,0,25,0
,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,50,0
,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,,Male,0,1902,60,0
37,Private,,10,Married-civ-spouse,Sales,Husband,Male,0,0,48,1
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,0
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,60,0
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,50,1
20,Private,Some-college,10,,Tech-support,Own-child,Female,0,0,40,0
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,40,1
32,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,40,1
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,1
24,Private,Bachelors,13,Never-married,Sales,Other-relative,Male,0,0,40,1
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,,0,40,0
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,1887,50,0
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Female,4064,,25,0
36,Private,,,Never-married,Machine-op-inspct,Own-child,Female,0,0,40,1
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,50,0
,Self-emp-inc,Some-college,10,,Sales,Husband,,0,0,50,0
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
55,Private,,10,Married-civ-spouse,Sales,Husband,Male,,0,56,0
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,,41,0
21,Private,Some-college,10,Never-married,Other-service,,Female,,0,,1
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,,Male,0,0,60,1
,,Bachelors,13,Never-married,Exec-managerial,Own-child,Male,,0,40,0
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
19,,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,35,0
,,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Female,0,,40,0
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,1719,28,1
31,,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,Male,0,0,40,0
,Private,Assoc-acdm,12,,,Not-in-family,Female,,0,60,0
24,,HS-grad,,Never-married,Other-service,Not-in-family,Female,0,,40,0
38,Self-emp-not-inc,,,Married-civ-spouse,Craft-repair,Husband,Male,4386,0,35,0
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,50,1
46,Private,Assoc-acdm,,Divorced,,Not-in-family,Female,0,0,36,0
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,,0,,1
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,0
27,Private,Assoc-voc,,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,1
20,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,0,20,0
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
27,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,40,0
19,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,,30,0
45,Private,Assoc-voc,11,Never-married,Prof-specialty,,Female,0,1564,40,0
,Private,Some-college,10,Never-married,Tech-support,Other-relative,Male,0,0,40,0
31,Private,HS-grad,,Never-married,Transport-moving,Unmarried,Female,0,0,30,1
22,Private,,,Married-civ-spouse,Other-service,Husband,Male,0,0,24,0
36,Private,HS-grad,9,,Other-service,Unmarried,Female,0,0,24,0
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,,0,2179,,0
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,Female,0,,38,1
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
33,Private,,13,Never-married,Exec-managerial,Other-relative,Female,0,0,,0
21,Private,HS-grad,9,Never-married,,Own-child,Male,,0,35,0
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,46,1
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,,0,0,40,0
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Male,0,1816,,0
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,Male,0,0,,0
42,Private,Bachelors,,Separated,Other-service,Other-relative,Male,0,0,50,0
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,40,0
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,,Female,0,0,40,0
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Female,0,,40,0
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
36,Private,Some-college,10,Divorced,Other-service,Unmarried,Female,0,0,40,0
,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,Male,0,0,42,0
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,Male,0,0,40,1
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,16,0
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,,0,0,20,0
,Private,HS-grad,9,Never-married,,Not-in-family,Male,0,1980,40,0
28,State-gov,HS-grad,9,Married-civ-spouse,,Husband,Male,0,0,40,0
51,Private,Some-college,10,Married-civ-spouse,Sales,,Male,0,1977,40,0
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,Male,0,0,50,0
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,Female,0,0,25,0
21,Private,HS-grad,9,,Craft-repair,Own-child,Male,0,0,40,0
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,40,1
18,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,12,0
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,,65,0
,Local-gov,,10,Married-civ-spouse,Exec-managerial,Husband,,0,0,38,0
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,0
30,Private,Some-college,10,Never-married,Craft-repair,,,0,0,45,0
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,,0
34,Private,HS-grad,,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,1
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,0
31,Private,Masters,,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,50,1
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,1,0
38,Private,,10,Divorced,Machine-op-inspct,,Female,0,0,28,0
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,,0,0,40,0
,Local-gov,,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
,Private,,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,0
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,24,1
,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,Male,0,0,40,0
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,Male,0,0,40,0
,Federal-gov,Masters,14,,Exec-managerial,Not-in-family,Female,14084,0,55,1
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,Male,7298,0,40,1
24,Self-emp-not-inc,,9,,Sales,Not-in-family,Male,0,0,40,0
26,,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,1876,40,0
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,Female,0,1340,40,0
37,State-gov,HS-grad,9,Divorced,,Unmarried,Female,0,0,35,1
18,Private,11th,,Never-married,Sales,Own-child,Female,0,0,40,0
36,,Bachelors,13,Married-civ-spouse,Other-service,Husband,Male,7298,0,36,0
35,Private,HS-grad,9,,Craft-repair,Not-in-family,Male,0,,60,0
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,15024,0,35,0
17,Private,11th,7,Never-married,Sales,Own-child,Female,0,0,12,0
,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,,0,40,0
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,40,1
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,0,0,40,1
,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,,40,0
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,,0,60,0
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,Female,0,,40,0
38,Private,,13,Married-civ-spouse,Sales,Husband,,0,0,50,1
,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,55,0
25,Private,,,Never-married,Craft-repair,Not-in-family,Male,0,0,40,0
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,,40,1
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,,20,0
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,35,1
18,Private,HS-grad,9,Never-married,Sales,Own-child,Female,0,0,40,0
66,,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,1409,0,50,0
75,,Assoc-voc,11,Widowed,,Not-in-family,,0,0,,1
65,Private,,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,0
35,Private,11th,,Separated,Transport-moving,Not-in-family,Male,3674,0,40,0
41,Private,HS-grad,9,,Sales,Unmarried,,0,0,38,1
25,Private,Some-college,,Never-married,Adm-clerical,Not-in-family,Male,0,,42,1
33,,Some-college,10,,,Other-relative,,0,,40,0
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Male,0,,55,0
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
40,State-gov,Some-college,10,,Adm-clerical,Not-in-family,Female,0,0,,0
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,,,0
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,70,0
23,Private,HS-grad,,,Transport-moving,Own-child,Male,0,0,,0
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,,40,0
41,Self-emp-not-inc,,9,Married-civ-spouse,Other-service,Wife,Female,0,0,20,0
,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,Male,0,0,50,0
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,Male,0,1741,40,0
58,Private,HS-grad,9,,Adm-clerical,Husband,Male,,0,45,0
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,34,0
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Male,0,1977,60,0
41,Private,,15,Married-civ-spouse,Prof-specialty,Wife,Female,,0,40,0
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,,0,40,0
59,Local-gov,10th,6,Widowed,Other-service,Unmarried,Female,0,0,,0
19,Local-gov,Some-college,,Never-married,Adm-clerical,Own-child,Male,,0,40,0
58,,Some-college,10,Never-married,Transport-moving,Not-in-family,Male,0,0,,1
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
20,Private,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,40,0
32,Private,HS-grad,9,Separated,Other-service,Not-in-family,Female,0,0,30,1
,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,Female,0,0,45,1
50,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,Male,0,0,,0
36,Private,Bachelors,,Divorced,Prof-specialty,,Female,0,0,40,1
45,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,60,0
17,Private,11th,7,,Other-service,Own-child,Male,0,0,12,0
59,Private,Some-college,10,,Sales,Husband,Male,4064,0,40,0
26,,11th,7,Married-civ-spouse,Craft-repair,Husband,Male,0,0,,0
37,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,75,0
64,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
33,Private,Bachelors,13,Never-married,,Not-in-family,Female,0,,45,0
33,Private,HS-grad,,Married-civ-spouse,Craft-repair,,Female,0,0,40,1
,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
17,Private,9th,5,Never-married,Other-service,Own-child,Male,1055,0,,1
50,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,Male,2407,0,98,0
27,Local-gov,Masters,14,Never-married,,Own-child,,0,0,,0
30,,HS-grad,9,Divorced,Prof-specialty,Own-child,Female,0,0,40,0
43,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,,0
44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,,0,40,1
35,Private,Some-college,10,Never-married,,Not-in-family,Female,0,0,40,0
25,,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,40,0
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,Female,7298,0,48,0
22,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,15,0
42,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,40,0
34,Private,Assoc-acdm,12,Divorced,Sales,Unmarried,Female,0,0,45,0
60,,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Female,0,0,42,0
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
57,Federal-gov,Masters,,Married-civ-spouse,Sales,Husband,Male,,0,40,0
41,Private,Prof-school,,Married-civ-spouse,,Husband,Male,0,0,60,1
50,,,10,Divorced,,Not-in-family,Male,0,0,45,0
25,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,1
50,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,,45,1
31,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Female,0,0,40,1
29,,,13,Never-married,Protective-serv,,Male,0,,56,0
21,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,0,45,0
27,Private,Bachelors,13,Never-married,Tech-support,Unmarried,,0,0,,0
65,Private,HS-grad,,Married-civ-spouse,Transport-moving,Husband,Male,0,0,16,0
37,Self-emp-inc,,13,Divorced,,Not-in-family,Female,0,0,60,0
24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,1
38,Private,,9,Divorced,Sales,Not-in-family,,0,0,80,0
48,Private,,13,Married-civ-spouse,Adm-clerical,Husband,,7688,0,40,0
,Private,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,,1
31,Private,HS-grad,9,Married-civ-spouse,,Husband,Male,0,0,45,0
55,Private,HS-grad,,Married-civ-spouse,Sales,Husband,Male,4386,0,40,1
24,Private,,10,Married-civ-spouse,Adm-clerical,Wife,Female,,0,40,0
43,Private,HS-grad,,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,0
26,Private,Assoc-acdm,,Never-married,Tech-support,Not-in-family,Male,0,0,45,0
46,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Female,0,0,,1
35,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Male,,0,40,1
41,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,,0
26,,Bachelors,13,Never-married,Sales,,Male,0,0,40,0
34,Private,Masters,14,Married-civ-spouse,,Husband,Male,,0,35,0
36,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Female,0,0,40,0
22,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,0,15,0
24,Private,,10,Never-married,Machine-op-inspct,Not-in-family,Male,0,,40,0
77,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
22,,5th-6th,3,Married-civ-spouse,,Other-relative,Female,0,0,40,0
29,Private,Some-college,10,Never-married,Tech-support,Not-in-family,Female,0,,,0
62,Private,HS-grad,9,Widowed,Other-service,Not-in-family,,0,0,24,0
39,Self-emp-not-inc,HS-grad,,,Exec-managerial,Husband,Male,0,0,40,0
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,1485,50,0
35,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Male,0,0,45,0
29,Private,11th,7,Never-married,Exec-managerial,Not-in-family,,0,0,40,1
76,Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,,0,0,10,0
63,Self-emp-not-inc,HS-grad,9,,Farming-fishing,Husband,Male,0,0,45,1
43,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Female,0,1887,,1
58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
66,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,2050,0,55,0
41,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,45,0
26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,0
47,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,,0,0,40,1
55,,10th,6,Married-civ-spouse,,Husband,Male,,0,40,1
53,Private,,9,Married-civ-spouse,Transport-moving,Husband,Male,,0,40,0
17,,5th-6th,3,Never-married,Other-service,Other-relative,Male,0,0,48,1
30,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,Male,0,0,40,0
,Private,Masters,,Never-married,Prof-specialty,,Male,0,0,60,1
19,Private,HS-grad,9,Never-married,Sales,Unmarried,,0,0,30,0
45,Private,HS-grad,9,Married-civ-spouse,Other-service,,Male,0,0,40,0
26,Private,Assoc-acdm,12,Never-married,,Not-in-family,Male,0,0,40,0
38,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,,Male,7298,0,40,0
36,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,7298,0,40,0
33,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Male,0,0,20,0
22,State-gov,Some-college,10,Never-married,Protective-serv,Own-child,Female,0,,40,0
43,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,42,0
56,Private,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,Male,0,0,25,0
31,Private,Bachelors,13,Never-married,,Own-child,Male,,0,25,0
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,0,0,40,0
26,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,,0,40,0
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,,0
,Local-gov,11th,7,Married-civ-spouse,Transport-moving,Husband,Male,0,0,30,1
